WELL,WELL_HEAD,lat,lon,Drilling Operator,Purpose,Completion Year,Formation,Dataset
15/9-13,15/9-13,58.373878000000005,1.9341279999999998,Den norske stats oljeselskap a.s,APPRAISAL,1982.0,ZECHSTEIN GP        ,Train
15/9-15,15/9-15,58.302068999999996,1.922131,Den norske stats oljeselskap a.s,WILDCAT,1982.0,SKAGERRAK FM        ,Train
15/9-17,15/9-17,58.44560799999999,1.9482169999999999,Den norske stats oljeselskap a.s,WILDCAT,1983.0,SMITH BANK FM       ,Train
16/1-2,16/1-2,58.935894,2.222239,Esso Exploration and Production Norway A/S,APPRAISAL,1976.0,BASEMENT            ,Train
16/1-6 A,16/1-6,58.991096999999996,2.295297,Statoil ASA (old),WILDCAT,2003.0,TOR FM              ,Train
16/10-1,16/10-1,58.056578,2.053903,Norsk Agip AS,WILDCAT,1986.0,ZECHSTEIN GP        ,Train
16/10-2,16/10-2,58.140717,2.037475,Norsk Agip AS,WILDCAT,1991.0,SKAGERRAK FM        ,Train
16/10-3,16/10-3,58.221817,2.3261939999999997,Norsk Agip AS,WILDCAT,1996.0,SMITH BANK FM       ,Train
16/10-5,16/10-5,58.00099399999999,2.1321,Talisman Energy Norge AS,WILDCAT,2012.0,BRYNE FM            ,Train
16/11-1 ST3,16/11-1,58.067778000000004,2.568889,,,,,Train
16/2-11 A,16/2-11,58.803628,2.5722,Lundin Norway AS,APPRAISAL,2012.0,SKAGERRAK FM        ,Train
16/2-16,16/2-16,58.850317000000004,2.597375,Lundin Norway AS,APPRAISAL,2012.0,ROTLIEGEND GP       ,Train
16/2-6,16/2-6,58.823682999999996,2.615211,Lundin Norway AS,WILDCAT,2010.0,ZECHSTEIN GP        ,Train
16/4-1,16/4-1,58.638425,2.138064,Norsk Hydro Produksjon AS,WILDCAT,1984.0,BASEMENT            ,Train
16/5-3,16/5-3,58.731653,2.5579560000000003,Statoil Petroleum AS,APPRAISAL,2013.0,ZECHSTEIN GP        ,Train
16/7-4,16/7-4,58.286042,2.025019,Esso Exploration and Production Norway A/S,WILDCAT,1982.0,SKAGERRAK FM        ,Train
16/7-5,16/7-5,58.35175,2.082267,Esso Exploration and Production Norway A/S,WILDCAT,1984.0,SMITH BANK FM       ,Train
16/8-1,16/8-1,58.456889000000004,2.432444,Conoco Norway Inc.,WILDCAT,1976.0,SMITH BANK FM       ,Train
17/11-1,17/11-1,58.21,3.343028,A/S Norske Shell,WILDCAT,1968.0,ZECHSTEIN GP        ,Train
25/11-15,25/11-15,59.18430600000001,2.484394,Norsk Hydro Produksjon AS,WILDCAT,1991.0,STATFJORD GP        ,Train
25/11-19 S,25/11-19,59.213467,2.401911,Esso Exploration and Production Norway A/S,APPRAISAL,1995.0,STATFJORD GP        ,Train
25/11-5,25/11-5,59.202589,2.365439,Esso Exploration and Production Norway A/S,WILDCAT,1974.0,NO GROUP DEFINED    ,Train
25/2-13 T4,25/2-13,59.793803000000004,2.453478,,,,,Train
25/2-14,25/2-14,59.764867,2.5897330000000003,Elf Petroleum Norge AS,APPRAISAL,1991.0,STATFJORD GP        ,Train
25/2-7,25/2-7,59.905668999999996,2.640519,Elf Petroleum Norge AS,WILDCAT,1982.0,DUNLIN GP           ,Train
25/3-1,25/3-1,59.931385999999996,2.772594,Elf Petroleum Norge AS,WILDCAT,1989.0,STATFJORD GP        ,Train
25/4-5,25/4-5,59.567986,2.194225,Elf Petroleum Norge AS,APPRAISAL,1981.0,SMITH BANK FM       ,Train
25/5-1,25/5-1,59.729775,2.570406,Elf Petroleum Norge AS,WILDCAT,1987.0,NO GROUP DEFINED    ,Train
25/5-4,25/5-4,59.609228,2.475575,Elf Petroleum Norge AS,WILDCAT,1991.0,STATFJORD GP        ,Train
25/6-1,25/6-1,59.525567,2.800575,Saga Petroleum ASA,WILDCAT,1986.0,BASEMENT            ,Train
25/6-2,25/6-2,59.561064,2.8204,Saga Petroleum ASA,WILDCAT,1992.0,DRAKE FM            ,Train
25/6-3,25/6-3,59.700842,2.9239,Den norske stats oljeselskap a.s,WILDCAT,1999.0,HARDRÃ…DE FM         ,Train
25/7-2,25/7-2,59.27460799999999,2.207247,Conoco Norway Inc.,WILDCAT,1990.0,SLEIPNER FM         ,Train
25/8-5 S,25/8-5,59.457528,2.364486,Esso Exploration and Production Norway A/S,WILDCAT,1994.0,SMITH BANK FM       ,Train
25/8-7,25/8-7,59.474564,2.5746029999999998,Amerada Hess Norge AS,WILDCAT,1995.0,AMUNDSEN FM         ,Train
25/9-1,25/9-1,59.44964399999999,2.709908,Amerada Hess Norge AS,WILDCAT,1995.0,SMITH BANK FM       ,Train
26/4-1,26/4-1,59.610510999999995,3.02035,BP Norway Limited U.A.,WILDCAT,1987.0,NO GROUP DEFINED    ,Train
29/6-1,29/6-1,60.538317000000006,1.990014,BP Norway Limited U.A.,APPRAISAL,1982.0,LUNDE FM            ,Train
30/3-3,30/3-3,60.76984399999999,2.95155,Den norske stats oljeselskap a.s,WILDCAT,1983.0,STATFJORD GP        ,Train
30/3-5 S,30/3-5,60.782728000000006,2.897972,Den norske stats oljeselskap a.s,WILDCAT,1992.0,STATFJORD GP        ,Train
30/6-5,30/6-5,60.68905600000001,2.953081,Den norske stats oljeselskap a.s,WILDCAT,1981.0,LUNDE FM            ,Train
31/2-1,31/2-1,60.771989000000005,3.554408,A/S Norske Shell,WILDCAT,1979.0,HEGRE GP            ,Train
31/2-19 S,31/2-19,60.910417,3.3714779999999998,Norsk Hydro Produksjon AS,WILDCAT,1996.0,STATFJORD GP        ,Train
31/2-7,31/2-7,60.857203000000005,3.4525580000000002,A/S Norske Shell,APPRAISAL,1982.0,HEATHER FM          ,Train
31/2-8,31/2-8,60.959171999999995,3.497178,A/S Norske Shell,WILDCAT,1982.0,HEGRE GP            ,Train
31/2-9,31/2-9,60.881761,3.4676190000000005,A/S Norske Shell,APPRAISAL,1982.0,FENSFJORD FM        ,Train
31/3-1,31/3-1,60.779961,3.7342779999999998,Den norske stats oljeselskap a.s,WILDCAT,1983.0,HEGRE GP            ,Train
31/3-2,31/3-2,60.869836,3.678275,Norsk Hydro Produksjon AS,APPRAISAL,1984.0,DRAKE FM            ,Train
31/3-3,31/3-3,60.833968999999996,3.8439330000000003,Saga Petroleum ASA,WILDCAT,1984.0,STATFJORD GP        ,Train
31/3-4,31/3-4,60.96425,3.688014,Tullow Oil Norge AS,WILDCAT,2014.0,ETIVE FM            ,Train
31/4-10,31/4-10,60.624939000000005,3.187808,Norsk Hydro Produksjon AS,APPRAISAL,1995.0,HEATHER FM          ,Train
31/4-5,31/4-5,60.558589000000005,3.0569919999999997,Norsk Hydro Produksjon AS,WILDCAT,1981.0,HEGRE GP            ,Train
31/5-4 S,31/5-4,60.721164,3.561961,Norsk Hydro Produksjon AS,APPRAISAL,1990.0,FENSFJORD FM        ,Train
31/6-5,31/6-5,60.618556000000005,3.805828,Den norske stats oljeselskap a.s,APPRAISAL,1984.0,DRAKE FM            ,Train
31/6-8,31/6-8,60.555932999999996,3.677519,Norsk Hydro Produksjon AS,APPRAISAL,1985.0,COOK FM             ,Train
32/2-1,32/2-1,60.774818999999994,4.333433,Talisman Energy Norge AS,WILDCAT,2008.0,LUNDE FM            ,Train
33/5-2,33/5-2,61.663093999999994,1.6215,Norsk Hydro Produksjon AS,WILDCAT,1981.0,LUNDE FM            ,Train
33/6-3 S,33/6-3,61.59405,1.952706,Suncor Energy Norge AS,APPRAISAL,2012.0,LUNDE FM            ,Train
33/9-1,33/9-1,61.252025,1.840428,Mobil Exploration Norway INC,WILDCAT,1974.0,STATFJORD GP        ,Train
33/9-17,33/9-17,61.455161,1.846053,Mobil Exploration Norway INC,WILDCAT,1994.0,NESS FM             ,Train
34/10-19,34/10-19,61.18635,2.258486,Den norske stats oljeselskap a.s,APPRAISAL,1983.0,HEGRE GP            ,Train
34/10-21,34/10-21,61.125843999999994,2.1484810000000003,Den norske stats oljeselskap a.s,APPRAISAL,1984.0,STATFJORD GP        ,Train
34/10-33,34/10-33,61.126233,2.215861,Den norske stats oljeselskap a.s,APPRAISAL,1988.0,STATFJORD GP        ,Train
34/10-35,34/10-35,61.071158,2.321325,Den norske stats oljeselskap a.s,WILDCAT,1992.0,STATFJORD GP        ,Train
34/11-1,34/11-1,61.07901700000001,2.5063169999999997,Den norske stats oljeselskap a.s,WILDCAT,1994.0,STATFJORD GP        ,Train
34/11-2 S,34/11-2,61.2259,2.382447,Den norske stats oljeselskap a.s,WILDCAT,1996.0,STATFJORD GP        ,Train
34/12-1,34/12-1,61.222189,2.998783,Eni Norge AS,WILDCAT,2008.0,COOK FM             ,Train
34/2-4,34/2-4,61.755586,2.660456,Amoco Norway Oil Company,WILDCAT,1985.0,STATFJORD GP        ,Train
34/3-1 A,34/3-1,61.812914,2.7797669999999997,BG Norge AS,APPRAISAL,2008.0,AMUNDSEN FM         ,Train
34/4-10 R,34/4-10,61.625925,2.0751310000000003,Saga Petroleum ASA,WILDCAT,2000.0,STATFJORD GP        ,Train
34/5-1 A,34/5-1,61.74310799999999,2.5987139999999997,BG Norge AS,APPRAISAL,2010.0,BURTON FM           ,Train
34/5-1 S,34/5-1,61.74310799999999,2.5987139999999997,BG Norge AS,WILDCAT,2010.0,STATFJORD GP        ,Train
34/7-13,34/7-13,61.405342000000005,2.0534689999999998,Saga Petroleum ASA,WILDCAT,1988.0,LUNDE FM            ,Train
34/7-20,34/7-20,61.444347,2.03055,Saga Petroleum ASA,WILDCAT,1992.0,LUNDE FM            ,Train
34/7-21,34/7-21,61.293567,2.072539,Saga Petroleum ASA,WILDCAT,1992.0,DRAKE FM            ,Train
34/8-1,34/8-1,61.364861,2.432658,Norsk Hydro Produksjon AS,WILDCAT,1986.0,LUNDE FM            ,Train
34/8-3,34/8-3,61.407789,2.54585,Norsk Hydro Produksjon AS,WILDCAT,1988.0,STATFJORD GP        ,Train
34/8-7 R,34/8-7,61.319186,2.5589310000000003,Norsk Hydro Produksjon AS,WILDCAT,1993.0,LUNDE FM            ,Train
35/11-1,35/11-1,61.183131,3.662486,Mobil Exploration Norway INC,WILDCAT,1984.0,HEGRE GP            ,Train
35/11-10,35/11-10,61.019594,3.523969,Norsk Hydro Produksjon AS,APPRAISAL,1997.0,COOK FM             ,Train
35/11-11,35/11-11,61.108728,3.5636330000000003,Norsk Hydro Produksjon AS,APPRAISAL,1998.0,DRAKE FM            ,Train
35/11-12,35/11-12,61.128758,3.3815720000000002,Norsk Hydro Produksjon AS,WILDCAT,2000.0,HEATHER FM          ,Train
35/11-13,35/11-13,61.16225,3.539278,Norsk Hydro Produksjon AS,WILDCAT,2005.0,HEATHER FM          ,Train
35/11-15 S,35/11-15,61.113967,3.5222059999999997,Norsk Hydro Produksjon AS,WILDCAT,2007.0,HEATHER FM          ,Train
35/11-6,35/11-6,61.196061,3.4654059999999998,Mobil Exploration Norway INC,APPRAISAL,1992.0,STATFJORD GP        ,Train
35/11-7,35/11-7,61.033260999999996,3.5906190000000002,Mobil Exploration Norway INC,WILDCAT,1992.0,STATFJORD GP        ,Train
35/12-1,35/12-1,61.184461,3.962614,Saga Petroleum ASA,WILDCAT,1992.0,AMUNDSEN FM         ,Train
35/3-7 S,35/3-7,61.83534399999999,3.825508,VNG Norge (Operations) AS,WILDCAT,2009.0,HEATHER FM          ,Train
35/4-1,35/4-1,61.533485999999996,3.3022940000000003,Norsk Hydro Produksjon AS,WILDCAT,1997.0,HEGRE GP            ,Train
35/8-4,35/8-4,61.359153000000006,3.505669,BP Norway Limited U.A.,WILDCAT,1999.0,SOGNEFJORD FM       ,Train
35/8-6 S,35/8-6,61.328236,3.338072,Wintershall Norge AS,WILDCAT,2016.0,HEATHER FM          ,Train
35/9-10 S,35/9-10,61.25195,3.684472,Wintershall Norge AS,APPRAISAL,2013.0,RANNOCH FM          ,Train
35/9-2,35/9-2,61.335728,3.937983,Norsk Hydro Produksjon AS,WILDCAT,1991.0,BASEMENT            ,Train
35/9-5,35/9-5,61.324693999999994,3.812553,Nexen Exploration Norge AS,WILDCAT,2010.0,KROSSFJORD FM       ,Train
35/9-6 S,35/9-6,61.37119200000001,3.69265,RWE Dea Norge AS,WILDCAT,2010.0,LUNDE FM            ,Train
36/7-3,36/7-3,61.425867000000004,4.049892,Norsk Hydro Produksjon AS,WILDCAT,2002.0,HEATHER FM          ,Train
7/1-1,7/1-1,57.797778,2.165556,Amoco Norway Oil Company,WILDCAT,1971.0,SKAGERRAK FM        ,Train
7/1-2 S,7/1-2,57.932525,2.069672,StatoilHydro Petroleum AS,WILDCAT,2008.0,BRYNE FM            ,Train
15/9-14,15/9-14,58.289775,1.691128,Den norske stats oljeselskap a.s,WILDCAT,1982.0,SMITH BANK FM       ,Test
25/10-10,25/10-10,59.184864000000005,2.297417,ExxonMobil Exploration and Production Norway AS,WILDCAT,2010.0,ZECHSTEIN GP        ,Test
25/11-24,25/11-24,59.103522,2.341036,Norsk Hydro Petroleum AS,WILDCAT,2007.0,STATFJORD GP        ,Test
25/5-3,25/5-3,59.585558,2.629706,Elf Petroleum Norge AS,WILDCAT,1990.0,NO GROUP DEFINED    ,Test
29/3-1,29/3-1,60.963956,1.937014,Total Norge AS,WILDCAT,1986.0,STATFJORD GP        ,Test
34/10-16 R,34/10-16,61.093228,2.1796279999999997,Den norske stats oljeselskap a.s,APPRAISAL,1983.0,LUNDE FM            ,Test
34/3-3 A,34/3-3,61.795136,2.717883,BG Norge AS,APPRAISAL,2012.0,BURTON FM           ,Test
34/6-1 S,34/6-1,61.582317,2.6854720000000003,Norske Conoco A/S,WILDCAT,2002.0,LUNDE FM            ,Test
35/6-2 S,35/6-2,61.533606000000006,3.911311,StatoilHydro Petroleum AS,WILDCAT,2009.0,NO FORMAL NAME      ,Test
35/9-8,35/9-8,61.28526899999999,3.6755940000000002,Wintershall Norge AS,APPRAISAL,2013.0,RANNOCH FM          ,Test
